test_position,global_id,cluster,explanation,text,fve,cosine,mse
141,146,6,"This activation is related to the shared content of the passage describing the evacuation of the Australian region basin following a severe storm, which led to the retirement of the name Graham from the Australian regional health department.","Following the storm , the name Graham was retired from the Australian region basin .",0.9952095150947571,0.9990648627281189,8.166000366210938
64,381,26,"This activation is related to the shared content of listing known keepers, excluding assistants and non-@-@ officers of the Coast Guard, along with sports traditions and school spirit organizations at Florida Atlantic University.","McCall admitted in his autobiography , The Real McCall , he wanted to manage Bradford .",0.9885163307189941,0.9986830949783325,9.607056617736816
19,1072,2,"This activation is related to the shared content of gaining promising results through the treatment of vector habitats with the fungus Beauveria bassiana, which was demonstrated by the treatment of vector habitats with the fungus Beauveria bassiana.",neXtProt – Exploring the universe of human proteins : human @-@ centric protein knowledge resource,0.987881600856781,0.9984757304191589,6.332479953765869
101,1222,2,"This activation is related to the shared content of gaining promising results through the treatment of vector habitats with the fungus Beauveria bassiana, which was demonstrated by the treatment of vector habitats with the fungus Beauveria bassiana.","Ferranti Technologies is an electronic , electromechanical and electrical engineering company based in Waterhead .",0.9859172701835632,0.9982333779335022,7.107828617095947
80,1085,7,"This activation is related to the shared content of discovering Ceres had an atmosphere with water vapor, confirming by the Herschel space telescope, and the ability of Greg Kurstin to produce vocals on ""Every Christmas"" by Jason Halbert.","Our Darling ’ s First Book ( written in collaboration with Dorothy Barker ) ; Blackie , 1929",0.9798157811164856,0.9984108805656433,6.176754474639893
137,1005,2,"This activation is related to the shared content of gaining promising results through the treatment of vector habitats with the fungus Beauveria bassiana, which was demonstrated by the treatment of vector habitats with the fungus Beauveria bassiana.",There are indications that Ceres may have a tenuous water vapor atmosphere outgassing from water ice on the surface .,0.9797176122665405,0.9977929592132568,11.766892433166504
138,1309,25,"This activation is related to the themes of youth development and mentorship found in the passages, particularly in the examples where Fey's involvement in organizations such as Autism Speaks highlights her commitment to supporting individuals with disabilities.","The Family : When families are depicted in advertising , parents are shown to be closer to their children of the same gender and in some instances men are shown separate from the rest of the family , in a protective manner .",-0.015127062797546387,0.9934172034263611,6.927427291870117
14,697,25,"This activation is related to the themes of youth development and mentorship found in the passages, particularly in the examples where Fey's involvement in organizations such as Autism Speaks highlights her commitment to supporting individuals with disabilities.",The treaty was signed on May 21 . Díaz resigned accordingly on May 25 . Francisco de la Barra became the interim president . Madero entered Mexico City on June 7 .,-0.02230072021484375,0.9944800734519958,6.642243385314941
181,1473,25,"This activation is related to the themes of youth development and mentorship found in the passages, particularly in the examples where Fey's involvement in organizations such as Autism Speaks highlights her commitment to supporting individuals with disabilities.","The character of Mr. Schmock — the name based on the Yiddish insult "" schmuck "" — shows similarities with Johanna Kessler 's husband , who was uninterested in art and culture .",-0.0616379976272583,0.9964730739593506,3.774007558822632
91,1484,25,"This activation is related to the themes of youth development and mentorship found in the passages, particularly in the examples where Fey's involvement in organizations such as Autism Speaks highlights her commitment to supporting individuals with disabilities.",Pattycake tried her hand at painting while participating with the Wildlife Conservation Society ( WCS ) animal enrichment program at the Bronx Zoo . A sample of her work was published in the 2010 WCS Annual Report .,-0.07426583766937256,0.9963692426681519,3.8420917987823486
